Participant ID,Please indicate your age.,Please indicate your gender.,Are you Hispanic/Latino?,What is the highest level of education you have completed?,Which of the following best describes your total annual personal income before taxes?,Are you located in the United States?,How often do you shop online?,American Indian or Alaskan Native,Asian,Black or African American,Native Hawaiian and Other Pacific Islander,White,__other,Other
13397659,18–24 years old,Female,No,"Master's degree (e.g., MA, MS, MBA)","Less than $20,000",Yes,About once a month,0,1,0,0,0,0,
13397665,18–24 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Once a week,0,1,0,0,0,0,
13397950,18–24 years old,Male,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,0,1,0,0,0,0,
13398525,25–34 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","$20,000–$39,999",Yes,Less than once a month,0,0,0,0,1,0,
13398617,25–34 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,0,1,0,0,0,0,
13401275,18–24 years old,Prefer not to say,No,"High school diploma or equivalent (e.g., GED)","Less than $20,000",Yes,About once a month,0,0,1,0,0,0,
13414503,18–24 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,0,1,0,0,0,0,
13415449,25–34 years old,Male,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,0,1,0,0,0,0,
13415450,18–24 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,0,1,0,0,0,0,
13415567,18–24 years old,Male,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Once a week,0,1,0,0,0,0,
13415604,18–24 years old,Female,Yes,"Bachelor's degree (e.g., BA, BS)","$150,000 or more",Yes,Multiple times a week,0,1,0,0,0,0,
13425616,25–34 years old,Female,Yes,"Bachelor's degree (e.g., BA, BS)","$40,000–$59,999",Yes,2–3 times a month,0,0,0,0,1,0,
13430110,25–34 years old,Male,No,"Doctorate or professional degree (e.g., PhD, JD, MD)","$150,000 or more",Yes,2–3 times a month,0,1,0,0,0,0,
13432012,25–34 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,0,1,0,0,0,0,
13432196,25–34 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,Multiple times a week,0,1,0,0,0,0,
13432989,18–24 years old,Female,No,"Bachelor's degree (e.g., BA, BS)","$60,000–$79,999",Yes,2–3 times a month,0,1,0,0,0,0,
13433652,18–24 years old,Male,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,About once a month,0,1,0,0,0,0,
13441531,25–34 years old,Female,No,"Master's degree (e.g., MA, MS, MBA)","$80,000–$99,999",Yes,About once a month,0,0,0,0,1,0,
13406543,18–24 years old,Male,No,"Bachelor's degree (e.g., BA, BS)","Less than $20,000",Yes,2–3 times a month,0,0,0,0,1,0,
13444141,25–34 years old,Male,No,"Master's degree (e.g., MA, MS, MBA)","$150,000 or more",Yes,About once a month,0,1,0,0,0,0,
